origin,destination,origin segment,destination segment,links crossed,links down,survey trips,ticketing trips,diff trips,diff link-trips
TsometKiryatAta,KiryatAta North-East,trunk,T1,2,0,0.0,0.0,0.0,0.1
TsometKiryatAta,Shefaram,trunk,T1,3,0,0.1,13.9,-13.8,-41.5
TsometKiryatAta,Hamovil,trunk,T1,4,0,0.0,0.0,0.0,0.1
TsometKiryatAta,Nazareth,trunk,T1,5,0,0.0,0.0,0.0,0.1
TsometKiryatAta,TsurShalom,trunk,T2,4,0,0.1,0.0,0.1,0.3
TsometKiryatAta,Kiryon,trunk,T2,3,0,0.2,0.0,0.2,0.7
TsometKiryatAta,KiryatBialik Center,trunk,T2,2,0,0.2,6.0,-5.8,-11.5
TsometKiryatAta,KiryatHaim,trunk,T2,1,0,1.0,0.0,1.0,1.0
TsometKiryatAta,SavyoneyYam,trunk,T3,4,0,0.0,0.0,0.0,0.2
TsometKiryatAta,KiryatYam A,trunk,T3,3,0,0.1,0.0,0.1,0.3
TsometKiryatAta,KiryatYam B+C,trunk,T3,2,0,1.3,47.4,-46.1,-92.2
TsometKiryatAta,KiryatHaim West,trunk,T3,1,0,0.5,23.7,-23.2,-23.2
KiryatAta North,TiratCarmel,T1,trunk,12,12,0.1,0.0,0.1,0.9
KiryatAta North,Matam-NeotPeres,T1,trunk,11,11,18.2,32.7,-14.6,-160.1
KiryatAta North,HofCarmel-NeveDavid,T1,trunk,10,10,1.5,0.0,1.5,14.7
KiryatAta North,Hecht-Shprintzak,T1,trunk,9,9,3.3,0.0,3.3,29.3
KiryatAta North,EinHayam,T1,trunk,8,8,1.0,0.0,1.0,8.3
KiryatAta North,BatGalim-KiryatEliezer,T1,trunk,7,7,16.8,16.7,0.1,0.7
