stop_id,stop_code,stop_name,x,y,TAZ
1682,40798,המושב/נעורים,199661.2,708538.6,3916
1683,40799,המושב/אחוזה,199586.1,708791.4,3916
1685,40801,המושב/נעורים,199661.7,708516.3,3916
1686,40802,המושב/אחוזה,199593.2,708760.1,3916
1687,40803,קיבוץ גלויות/הכרם,196605.6,718533.8,2504
1688,40804,דרך אהרון/נווה רמז,196324.7,718563.8,2505
1690,40806,קיבוץ גלויות/מרבד הקסמים,196780.1,718623.5,2504
1694,40810,הנשיא/הרצל,195691.4,719988.6,2503
1695,40811,המייסדים/הנדיב,195943.8,720089.3,2503
1697,40813,התירוש/הגת,196653.0,718262.7,2504
1698,40814,גאולים,197113.7,718493.6,2504
1699,40815,כנפי נשרים/ברק,196886.4,718496.7,2504
1700,40816,הנשיא/השקד,195384.4,719979.4,2503
1701,40817,נילי/קדש,195134.0,719701.8,2503
1702,40818,החלוצים/שד. ניל''י,194862.3,719548.1,2506
1703,40819,נילי/קדש,195241.1,719730.4,2503
1704,40820,ת. רכבת בנימינה,195567.1,713458.5,3907
1705,40821,דרך המסילה/דקל,195149.6,714265.6,3906
1706,40822,מחצבת בנימינה,195150.0,715230.1,3904
1707,40823,הגיבורים/הספיר,195132.6,714757.8,3904
1708,40824,מחצבת בנימינה,195204.2,715329.9,3904
1710,40826,דרך המסילה/ששת הימים,195517.4,713627.4,3907
1711,40827,דרך המסילה/ששת הימים,195513.9,713699.5,3907
1714,40830,חוף דור,192599.5,723964.1,2418
1715,40831,צומת עין איילה,196308.4,726076.1,2427
1716,40832,צומת עין איילה,196278.2,725963.2,2427
1717,40833,מפעלי סיד,196089.8,724992.8,2427
1718,40834,צומת עופר,196379.4,727226.6,2411
1719,40835,צומת עופר,196399.6,727343.3,2411
1720,40836,צומת הבונים,196391.7,727579.6,2411
1721,40837,צומת הבונים,196407.2,727705.3,2411
1722,40838,צומת צרופה,196427.5,728226.3,2411
1723,40839,צומת גבע כרמל,196532.9,729766.5,2425
